# Logfile created on 2026-04-08 19:06:46 +0200 by logger.rb/v1.5.3
2026-04-08 19:06:46 +0200: Memory Usage (453140K) : varicap_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453396K) : flash_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453396K) : intbondvia_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453396K) : intbondmet_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453652K) : devbondvia_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453652K) : devbondmet_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453908K) : devtrench_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453908K) : redist_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453908K) : graphbot_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454164K) : graphtop_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454164K) : antvia1_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454420K) : antmetal2_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454420K) : graphcont_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454420K) : siwg_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454676K) : siwg_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454676K) : siwg_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454676K) : sigrating_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454676K) : singrating_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454932K) : graphpas_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454932K) : emwind3_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454932K) : emwihv3_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (454932K) : redbulay_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455188K) : smos_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455188K) : graphpad_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455188K) : polimide_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455444K) : polimide_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455444K) : recog_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455444K) : recog_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455700K) : recog_esd has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455700K) : recog_diode has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455700K) : recog_tsv has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455700K) : recog_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455956K) : recog_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455956K) : recog_pillar has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (455956K) : recog_sbump has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456212K) : recog_otp has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456212K) : recog_pdiode has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456212K) : recog_mom has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456468K) : recog_pcm has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456468K) : colopen_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456468K) : graphmetal1_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456468K) : graphmetal1_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456468K) : graphmetal1_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456724K) : graphmetal1_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456724K) : graphmetal1_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456724K) : graphmet1l_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456980K) : graphmet1l_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (456980K) : graphmet1l_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457236K) : graphmet1l_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457236K) : graphmet1l_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457236K) : extblock_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457492K) : nldd_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457492K) : pldd_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457748K) : next_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457748K) : pext_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (457748K) : nexthv_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458004K) : pexthv_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458004K) : graphgate_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458260K) : sinwg_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458260K) : sinwg_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458260K) : sinwg_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458516K) : mempad_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458516K) : topvia1_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458772K) : topmetal1_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458772K) : topmetal1_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (458772K) : topmetal1_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459028K) : topmetal1_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459028K) : topmetal1_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459284K) : topmetal1_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459284K) : topmetal1_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459284K) : topmetal1_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459540K) : topmetal1_res has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459540K) : topmetal1_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459540K) : topmetal1_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459796K) : inldpwl_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (459796K) : polyres_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460052K) : polyres_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460052K) : vmim_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460052K) : nbulaycut_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460308K) : antmetal1_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460308K) : topvia2_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460564K) : topmetal2_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460564K) : topmetal2_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460564K) : topmetal2_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460820K) : topmetal2_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (460820K) : topmetal2_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461076K) : topmetal2_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461076K) : topmetal2_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461076K) : topmetal2_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461332K) : topmetal2_res has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461332K) : topmetal2_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461332K) : topmetal2_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461588K) : snsring_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461588K) : sensor_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461844K) : snsarms_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461844K) : snscmosvia_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (461844K) : colwind_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462100K) : flm_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462100K) : hafniumox_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462356K) : memvia_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462356K) : thinfilmres_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462356K) : rfmem_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m2m3 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m2m4 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m2m5 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m2tm1 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m2tm2 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m3m4 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m3m5 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m3tm1 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m3tm2 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m4m5 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m4tm1 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m4tm2 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m5tm1 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m5tm2 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_tm1tm2 has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m1sub has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m2sub has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m3sub has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m4sub has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_m5sub has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_tm1sub has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : norcx_tm2sub has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : snsbotvia_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : snstopvia_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : deepvia_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : fgetch_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : ctrgat_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : fgimp_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : emwihv_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : lbe_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : alcustop_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : nometfiller_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : prboundary_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : exchange0_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (462612K) : exchange0_pin has 0 polygons
